CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
934816150,75,BROOKLYN,10/18/2018,0:01:00,4/15/2019,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN NORTH,434,"LARCENY,GRAND BY OPEN BANK ACCT",RESIDENCE-HOUSE,9/25/2019,,,,,,18-24,UNKNOWN,M,1016007,180956,40.6633104,-73.88553429,"(40.66331040000005, -73.88553428699998)"
809449275,102,QUEENS,11/7/2018,0:01:00,11/13/2018,10:31:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO QUEENS SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",MAILBOX OUTSIDE,9/4/2019,,,,,,45-64,UNKNOWN,F,1026216,190661,40.6899059,-73.84867589,"(40.68990589800006, -73.84867588699996)"
143382740,114,QUEENS,12/9/2018,16:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO QUEENS NORTH,638,"HARASSMENT,SUBD 3,4,5",COMMERCIAL BUILDING,7/21/2019,,UNKNOWN,BLACK,M,,65+,WHITE HISPANIC,M,1003198,213252,40.75199194,-73.93161304,"(40.75199194200008, -73.93161304099993)"
288975395,68,BROOKLYN,10/16/2018,2:37:00,2/22/2019,9:38:00,COMPLETED,,,0,N.Y. POLICE DEPT,126,FELONY,INSIDE,,,PATROL BORO BKLYN SOUTH,594,OBSCENITY 1,RESIDENCE - APT. HOUSE,8/7/2019,,65+,WHITE,M,,UNKNOWN,UNKNOWN,E,976190,170851,40.63562764,-74.02904141,"(40.635627641000035, -74.02904141099998)"
693294470,52,BRONX,10/1/2018,10:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO BRONX,349,"LARCENY,PETIT OF LICENSE PLATE",STREET,5/13/2019,,,,,,18-24,WHITE HISPANIC,M,1017440,256046,40.86940749,-73.87999831,"(40.86940749200004, -73.87999831299999)"
334194279,63,BROOKLYN,2/15/2018,23:00:00,2/16/2018,0:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BKLYN SOUTH,157,RAPE 1,HOTEL/MOTEL,8/12/2019,,25-44,BLACK,M,,25-44,BLACK,F,1000448,168068,40.62797776,-73.94164716,"(40.627977755000074, -73.94164715699996)"
873872679,13,MANHATTAN,11/22/2018,18:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO MAN SOUTH,157,RAPE 1,RESIDENCE - APT. HOUSE,4/17/2019,,18-24,UNKNOWN,M,,<18,WHITE,F,988874,207673,40.73669807,-73.98331603,"(40.736698070000045, -73.98331602599995)"
419726595,75,,12/30/2018,2:22:00,,,COMPLETED,,,,N.Y. POLICE DEPT,101,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,,,,,,2/14/2019,,,,,,25-44,BLACK,M,1017442,184924,40.6741964,-73.88034234,"(40.674196403000046, -73.88034234199995)"
300430475,75,BROOKLYN,9/20/2018,9:00:00,10/12/2018,9:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BKLYN NORTH,638,"HARASSMENT,SUBD 3,4,5",STREET,2/6/2019,,,,,,<18,BLACK,M,1019029,184271,40.67239797,-73.87462449,"(40.67239797400004, -73.87462449099996)"
818119574,13,MANHATTAN,7/16/2018,15:54:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,,PATROL BORO MAN SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",MAILBOX OUTSIDE,2/5/2019,,,,,,25-44,WHITE,F,988085,207468,40.73613577,-73.9861632,"(40.73613577300006, -73.98616320199994)"
